"trace_type","segment_id","entity_id","change_summary","causal_reason"
"content","5","Dormant_Achiever_Day_7_Scarcity_and_Impatience_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 16.6% (5-15%) and Engagement 27.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_7_Scarcity_and_Impatience_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 18.7% (5-15%) and Engagement 38.0% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_7_Scarcity_and_Impatience_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 19.6% (5-15%) and Engagement 35.8% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_14_Scarcity_and_Impatience_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 6.4% (<5%) and Engagement 17.2% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","5","Dormant_Achiever_Day_14_Scarcity_and_Impatience_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 20.6% (5-15%) and Engagement 22.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_14_Scarcity_and_Impatience_T3","Template retained (GOOD performance, no change).","Experiment CTR 18.4% (>15%) and Engagement 67.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_14_Scarcity_and_Impatience_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 21.5% (5-15%) and Engagement 29.7% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_14_Scarcity_and_Impatience_T5","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 7.3% (<5%) and Engagement 18.9% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","5","Dormant_Achiever_Day_30_Scarcity_and_Impatience_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 5.0% (5-15%) and Engagement 37.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_30_Scarcity_and_Impatience_T2","Template retained (GOOD performance, no change).","Experiment CTR 25.6% (>15%) and Engagement 52.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_30_Scarcity_and_Impatience_T3","Template retained (GOOD performance, no change).","Experiment CTR 24.4% (>15%) and Engagement 53.5% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_30_Scarcity_and_Impatience_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 21.0% (5-15%) and Engagement 28.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_30_Scarcity_and_Impatience_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 7.7% (5-15%) and Engagement 53.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_1_Creativity_and_Feedback_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_1'.","Experiment CTR 7.8% (<5%) and Engagement 19.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","6","Dormant_Scholar_Day_1_Creativity_and_Feedback_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 7.9% (5-15%) and Engagement 47.5% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_1_Creativity_and_Feedback_T3","Template retained (GOOD performance, no change).","Experiment CTR 21.5% (>15%) and Engagement 49.5% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_1_Creativity_and_Feedback_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_1'.","Experiment CTR 4.8% (<5%) and Engagement 8.6% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","6","Dormant_Scholar_Day_1_Creativity_and_Feedback_T5","Template retained (GOOD performance, no change).","Experiment CTR 32.2% (>15%) and Engagement 58.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_7_Creativity_and_Feedback_T1","Template retained (GOOD performance, no change).","Experiment CTR 32.2% (>15%) and Engagement 53.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_7_Creativity_and_Feedback_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 20.1% (5-15%) and Engagement 32.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_7_Creativity_and_Feedback_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 8.9% (5-15%) and Engagement 36.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_7_Creativity_and_Feedback_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_7'.","Experiment CTR 8.3% (<5%) and Engagement 8.4% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","6","Dormant_Scholar_Day_7_Creativity_and_Feedback_T5","Template retained (GOOD performance, no change).","Experiment CTR 16.4% (>15%) and Engagement 45.2% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_14_Creativity_and_Feedback_T1","Template retained (GOOD performance, no change).","Experiment CTR 27.4% (>15%) and Engagement 47.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_14_Creativity_and_Feedback_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 9.6% (5-15%) and Engagement 29.7% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_14_Creativity_and_Feedback_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 20.7% (5-15%) and Engagement 39.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_14_Creativity_and_Feedback_T4","Template retained (GOOD performance, no change).","Experiment CTR 21.8% (>15%) and Engagement 65.1% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_14_Creativity_and_Feedback_T5","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 1.6% (<5%) and Engagement 26.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","6","Dormant_Scholar_Day_30_Creativity_and_Feedback_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 20.5% (5-15%) and Engagement 31.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_30_Creativity_and_Feedback_T2","Template retained (GOOD performance, no change).","Experiment CTR 20.7% (>15%) and Engagement 63.1% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_30_Creativity_and_Feedback_T3","Template retained (GOOD performance, no change).","Experiment CTR 30.0% (>15%) and Engagement 47.5% (>40%) — both thresholds met. Template content kept unchanged."
"content","6","Dormant_Scholar_Day_30_Creativity_and_Feedback_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 19.9% (5-15%) and Engagement 36.7% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","6","Dormant_Scholar_Day_30_Creativity_and_Feedback_T5","Template retained (GOOD performance, no change).","Experiment CTR 32.7% (>15%) and Engagement 48.1% (>40%) — both thresholds met. Template content kept unchanged."
"content","7","Paid_Competitive_Week_1_Ownership_and_Possession_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_1'.","Experiment CTR 6.0% (<5%) and Engagement 13.5% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","7","Paid_Competitive_Week_1_Ownership_and_Possession_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_1'.","Experiment CTR 4.8% (<5%) and Engagement 17.3% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","7","Paid_Competitive_Week_1_Ownership_and_Possession_T3","Template retained (GOOD performance, no change).","Experiment CTR 18.2% (>15%) and Engagement 67.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","7","Paid_Competitive_Week_1_Ownership_and_Possession_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_1'.","Experiment CTR 5.1% (5-15%) and Engagement 38.5% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","7","Paid_Competitive_Week_1_Ownership_and_Possession_T5","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_1'.","Experiment CTR 1.5% (<5%) and Engagement 31.8% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","7","Paid_Competitive_Week_2_Ownership_and_Possession_T1","Template retained (GOOD performance, no change).","Experiment CTR 15.5% (>15%) and Engagement 43.7% (>40%) — both thresholds met. Template content kept unchanged."
"content","7","Paid_Competitive_Week_2_Ownership_and_Possession_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_2'.","Experiment CTR 16.8% (5-15%) and Engagement 37.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","7","Paid_Competitive_Week_2_Ownership_and_Possession_T3","Template retained (GOOD performance, no change).","Experiment CTR 27.7% (>15%) and Engagement 58.1% (>40%) — both thresholds met. Template content kept unchanged."
"content","7","Paid_Competitive_Week_2_Ownership_and_Possession_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_2'.","Experiment CTR 7.8% (5-15%) and Engagement 29.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","7","Paid_Competitive_Week_2_Ownership_and_Possession_T5","Template retained (GOOD performance, no change).","Experiment CTR 21.4% (>15%) and Engagement 59.2% (>40%) — both thresholds met. Template content kept unchanged."
"content","7","Paid_Competitive_Week_4_Ownership_and_Possession_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_4'.","Experiment CTR 7.2% (<5%) and Engagement 8.6% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","7","Paid_Competitive_Week_4_Ownership_and_Possession_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_4'.","Experiment CTR 5.3% (<5%) and Engagement 17.5% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","7","Paid_Competitive_Week_4_Ownership_and_Possession_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_4'.","Experiment CTR 5.1% (5-15%) and Engagement 32.1% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","7","Paid_Competitive_Week_4_Ownership_and_Possession_T4","Template retained (GOOD performance, no change).","Experiment CTR 26.0% (>15%) and Engagement 57.6% (>40%) — both thresholds met. Template content kept unchanged."
"content","7","Paid_Competitive_Week_4_Ownership_and_Possession_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_4'.","Experiment CTR 17.9% (5-15%) and Engagement 38.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
